ind,content,num_of_obj,sum_of_obj,sum_of_stroke,sum_of_junc,file_loc,PC,inkArea,perimeter
108,WORT,4,"[4, 1, 3, 2]",10,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (24).BMP,46.8346080931998,5960.1137254902,1872.9045751634
109,KIND,4,"[3, 1, 3, 2]",9,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (25).BMP,41.0889962697888,5588.96078431373,1698.76470588235
110,MILCH,5,"[4, 1, 1, 1, 3]",10,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (26).BMP,49.8454070534231,6683.37254901961,2046.04575163399
111,MANN,4,"[4, 3, 3, 3]",13,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (27).BMP,52.8107440657391,6755.70980392157,2117.39346405229
112,KNIE,4,"[3, 3, 1, 4]",11,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (28).BMP,41.8695705257882,5819.8431372549,1749.8862745098
113,RAD,3,"[3, 3, 2]",8,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (29).BMP,34.9703505403637,4444.72156862745,1397.58169934641
114,GELD,4,"[2, 4, 1, 2]",9,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (30).BMP,40.8508802266122,5511.95294117647,1682.12549019608
115,MILCH,5,"[4, 1, 1, 1, 3]",10,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (31).BMP,49.8454070534231,6683.37254901961,2046.04575163399
116,WORT,4,"[4, 1, 3, 2]",10,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (32).BMP,46.8346080931998,5960.1137254902,1872.9045751634
117,SPIEL,5,"[1, 2, 1, 4, 1]",9,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (33).BMP,45.5445692702362,6375.33333333333,1910.1816993464
118,MANN,4,"[4, 3, 3, 3]",13,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (34).BMP,52.8107440657391,6755.70980392157,2117.39346405229
119,HUT,3,"[3, 1, 2]",6,3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (35).BMP,29.6295986692809,4123.87058823529,1239.13986928105
120,KNIE,4,"[3, 3, 1, 4]",11,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (36).BMP,41.8695705257882,5819.8431372549,1749.8862745098
121,TAG,3,"[2, 3, 2]",7,6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (37).BMP,32.303185750664,4149.47058823529,1297.84836601307
122,BOOT,4,"[3, 1, 1, 2]",7,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (38).BMP,42.7964919108146,5508.51764705882,1721.18039215686
123,OHR,3,"[1, 3, 3]",7,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (39).BMP,34.5357679139394,4412.76862745098,1383.86928104575
124,PFERD,5,"[2, 3, 4, 3, 2]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (40).BMP,53.354798357941696,7217.86666666667,2199.86535947712
125,BEIN,4,"[3, 4, 1, 3]",11,11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (41).BMP,41.7467787791053,5953.34509803922,1767.24575163399
126,KIND,4,"[3, 1, 3, 2]",9,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (42).BMP,41.0889962697888,5588.96078431373,1698.76470588235
127,RAD,3,"[3, 3, 2]",8,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (43).BMP,34.9703505403637,4444.72156862745,1397.58169934641
128,GELD,4,"[2, 4, 1, 2]",9,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (44).BMP,40.8508802266122,5511.95294117647,1682.12549019608
129,BEIN,4,"[3, 4, 1, 3]",11,11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (45).BMP,41.7467787791053,5953.34509803922,1767.24575163399
130,OHR,3,"[1, 3, 3]",7,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (46).BMP,34.5357679139394,4412.76862745098,1383.86928104575
